employee_id,employee_name,employment_status,gender,age,age_band,division_of_origin,disability_status,education,department,department_key,cost_center,job_title,job_level,employment_type,location,location_key,join_date,exit_date,manager,monthly_gross_bdt,annual_total_reward_bdt,compa_ratio,goal_completion_percent,overall_performance_score,performance_rating,potential,promotion_readiness,leave_transactions,approved_leave_days,training_programs,training_hours,training_cost_bdt,average_training_feedback,average_pre_assessment,average_post_assessment,assessment_improvement,exit_type,exit_reason,regrettable_exit,tenure_at_exit_years
MG-CTG-PRD-0206,Hasan Kabir,Active at FY2025 year-end,Male,32,25-34,Chattogram,No,Bachelor,Production,production,CC-101,Shift Supervisor,Senior Officer,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2020-08-18,,Abdul Karim,73500,1058900,1.05,100.6,96.2,Exceeds Expectations,Low,Develop in Current Role,3,8.0,3,28.0,5051.0,4.27,66.0,77.0,11.0,,,,
MG-CTG-PRD-0249,Ashik Hasan,Separated during FY2025,Male,,,,,,Production,production,CC-101,Packing Assistant,Worker,,Chattogram Distribution Hub,chattogram_distribution_hub,2021-04-24,2025-06-15,Abdul Karim,,,,,,,,,2,6.0,0,0.0,0.0,,,,,Voluntary,Better Career Opportunity,No,4.14
MG-CTG-PRD-0294,Rashed Khatun,Separated during FY2025,Male,,,,,,Production,production,CC-101,Head of Manufacturing,Head,,Chattogram Distribution Hub,chattogram_distribution_hub,2023-06-23,2025-04-06,Md. Shahidul Islam,,,,,,,,,2,1.0,1,12.0,1610.0,4.6,45.0,62.0,17.0,Voluntary,Higher Study,No,1.79
MG-CTG-PRD-0332,Asif Alam,Separated during FY2025,Male,,,,,,Production,production,CC-101,Production Assistant,Junior Staff,,Chattogram Distribution Hub,chattogram_distribution_hub,2022-08-01,2025-07-17,Md. Shahidul Islam,,,,,,,,,4,11.0,2,10.0,2686.0,4.7,60.0,84.0,24.0,Voluntary,Compensation & Benefits,No,2.96
MG-CTG-PRD-0345,Rafiq Bhuiyan,Active at FY2025 year-end,Male,26,25-34,Dhaka,No,Bachelor,Production,production,CC-101,Production Officer,Officer,Probation,Chattogram Distribution Hub,chattogram_distribution_hub,2016-07-29,,Abdul Karim,47500,617500,0.9223301,105.9,99.6,Exceeds Expectations,Medium,Ready in 1-2 Years,2,4.0,1,8.0,2036.0,3.7,55.0,68.0,13.0,,,,
MG-CTG-QAS-0042,Hasan Kabir,Active at FY2025 year-end,Male,34,25-34,Sylhet,No,Master,Quality Assurance,quality_assurance,CC-106,QA Executive,Executive,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2022-10-06,,Dr. Samira Sultana,105500,1508800,1.17222222,91.6,85.9,Meets Expectations,Medium,Ready in 1-2 Years,1,2.0,1,12.0,401.0,3.6,64.0,74.0,10.0,,,,
MG-CTG-QAS-0077,Jahid Uddin,Active at FY2025 year-end,Male,27,25-34,Rajshahi,No,Bachelor,Quality Assurance,quality_assurance,CC-106,QC Technician,Junior Staff,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2021-08-29,,Ashikur Rahman,34000,496800,0.93150685,72.3,77.2,Partially Meets,High,Develop in Current Role,3,4.0,4,40.0,7425.0,4.17,55.0,69.25,14.25,,,,
MG-CTG-QAS-0242,Moumita Khan,Active at FY2025 year-end,Not Disclosed,38,35-44,Khulna,No,Bachelor,Quality Assurance,quality_assurance,CC-106,Quality Officer,Officer,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2020-08-25,,Dr. Samira Sultana,56000,867000,1.08737864,89,87.8,Meets Expectations,Medium,Ready in 1-2 Years,3,10.0,0,0.0,0.0,,,,,,,,
MG-CTG-QAS-0324,Ashik Bhuiyan,Active at FY2025 year-end,Male,29,25-34,Barishal,No,HSC,Quality Assurance,quality_assurance,CC-106,Quality Inspector,Worker,Contract,Chattogram Distribution Hub,chattogram_distribution_hub,2019-02-19,,Ashikur Rahman,24000,324000,0.90566038,91.8,83.3,Meets Expectations,Low,Develop in Current Role,1,1.0,2,14.0,3005.0,4.1,64.5,75.0,10.5,,,,
MG-CTG-QAS-0370,Md. Rahim Uddin,Active at FY2025 year-end,Male,20,Under 25,Dhaka,No,HSC,Quality Assurance,quality_assurance,CC-106,Lab Assistant,Worker,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2019-11-16,,Dr. Samira Sultana,25500,390000,0.96226415,72.4,71.2,Partially Meets,Medium,Develop in Current Role,2,10.0,5,36.0,8241.0,4.2,60.2,75.0,14.8,,,,
MG-CTG-QAS-0405,Shakil Islam,Active at FY2025 year-end,Male,34,25-34,Chattogram,No,HSC,Quality Assurance,quality_assurance,CC-106,Quality Inspector,Worker,Probation,Chattogram Distribution Hub,chattogram_distribution_hub,2017-08-15,,Ashikur Rahman,26500,344500,1,80.8,77.8,Partially Meets,Medium,Develop in Current Role,2,3.0,2,22.0,2688.0,4.8,62.0,73.0,11.0,,,,
MG-CTG-SAM-0015,Rashed Ahmed,Active at FY2025 year-end,Male,36,35-44,Dhaka,No,Bachelor,Sales & Marketing,sales_and_marketing,CC-102,Digital Marketing Executive,Executive,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2018-06-26,,Tanvir Ahmed,78000,1162500,0.86666667,111.4,99.3,Exceeds Expectations,High,Ready Now,0,0.0,2,15.0,3961.0,4.2,73.0,88.0,15.0,,,,
MG-CTG-SAM-0069,Shafiq Akter,Active at FY2025 year-end,Male,24,Under 25,Rajshahi,No,HSC,Sales & Marketing,sales_and_marketing,CC-102,Sales Support Assistant,Worker,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2022-06-06,,Farzana Rahman,21000,312900,0.79245283,110.6,100.5,Outstanding,Medium,Ready in 1-2 Years,1,2.0,2,20.0,2283.0,4.3,59.0,79.0,20.0,,,,
MG-CTG-SAM-0080,Zahid Akter,Active at FY2025 year-end,Male,34,25-34,Khulna,No,HSC,Sales & Marketing,sales_and_marketing,CC-102,Marketing Assistant,Junior Staff,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2017-06-17,,Tanvir Ahmed,38500,561900,1.05479452,81.8,82.4,Meets Expectations,Medium,Ready in 1-2 Years,3,6.0,2,7.0,2765.0,4.25,57.5,75.0,17.5,,,,
MG-CTG-SAM-0095,Tareq Karim,Active at FY2025 year-end,Male,27,25-34,Rajshahi,No,Professional Certification,Sales & Marketing,sales_and_marketing,CC-102,Senior Territory Officer,Senior Officer,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2022-08-21,,Tanvir Ahmed,66500,923900,0.95,101.9,91.9,Exceeds Expectations,Medium,Ready in 1-2 Years,3,5.0,5,55.0,7181.0,3.94,58.2,74.6,16.4,,,,
MG-CTG-SAM-0100,Moumita Sultana,Active at FY2025 year-end,Female,33,25-34,Chattogram,No,Bachelor,Sales & Marketing,sales_and_marketing,CC-102,Sales Representative,Junior Staff,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2019-04-21,,Farzana Rahman,34000,515500,0.93150685,114.9,100.1,Outstanding,High,Ready Now,1,1.0,2,12.0,2563.0,4.35,55.0,66.5,11.5,,,,
MG-CTG-SAM-0121,Imran Mia,Active at FY2025 year-end,Male,28,25-34,Mymensingh,No,Bachelor,Sales & Marketing,sales_and_marketing,CC-102,Brand Officer,Officer,Probation,Chattogram Distribution Hub,chattogram_distribution_hub,2021-01-18,,Tanvir Ahmed,55500,721500,1.0776699,93.9,91.8,Exceeds Expectations,Medium,Ready in 1-2 Years,3,8.0,3,26.0,2574.0,4.17,57.0,69.33,12.33,,,,
MG-CTG-SAM-0130,Jahid Ahmed,Active at FY2025 year-end,Male,26,25-34,Dhaka,No,Master,Sales & Marketing,sales_and_marketing,CC-102,Brand Officer,Officer,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2022-05-13,,Tanvir Ahmed,50500,730400,0.98058252,76.5,75.4,Partially Meets,Low,Develop in Current Role,2,4.0,2,22.0,2713.0,3.9,54.0,68.5,14.5,,,,
MG-CTG-SAM-0177,Nabila Alam,Active at FY2025 year-end,Female,23,Under 25,Dhaka,No,HSC,Sales & Marketing,sales_and_marketing,CC-102,Marketing Assistant,Junior Staff,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2021-03-23,,Farzana Rahman,40000,561400,1.09589041,87,84.5,Meets Expectations,Medium,Ready in 1-2 Years,2,7.0,1,4.0,631.0,4.5,71.0,88.0,17.0,,,,
MG-CTG-SAM-0208,Imran Alam,Active at FY2025 year-end,Male,49,45+,Rajshahi,No,Master,Sales & Marketing,sales_and_marketing,CC-102,Brand Manager,Manager,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2020-08-16,,Tanvir Ahmed,152000,2251400,1.08571429,97.1,85.3,Meets Expectations,Medium,Ready in 1-2 Years,2,3.0,5,37.0,6183.0,4.46,58.4,72.2,13.8,,,,
MG-CTG-SAM-0232,Jannatul Ferdous,Active at FY2025 year-end,Female,30,25-34,Chattogram,No,Master,Sales & Marketing,sales_and_marketing,CC-102,Digital Marketing Executive,Executive,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2016-06-09,,Tanvir Ahmed,73500,1058900,0.81666667,89.7,86.9,Meets Expectations,High,Ready in 1-2 Years,2,6.0,5,38.0,6338.0,4.28,62.4,75.4,13.0,,,,
MG-CTG-SAM-0241,Anika Khan,Active at FY2025 year-end,Female,44,35-44,Chattogram,No,Bachelor,Sales & Marketing,sales_and_marketing,CC-102,Brand Manager,Manager,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2020-06-25,,Farzana Rahman,128000,1897400,0.91428571,75.6,79.2,Meets Expectations,Medium,Ready in 1-2 Years,1,1.0,1,4.0,547.0,4.6,66.0,88.0,22.0,,,,
MG-CTG-SAM-0273,Rafiq Chowdhury,Active at FY2025 year-end,Male,43,35-44,Chattogram,No,Master,Sales & Marketing,sales_and_marketing,CC-102,Regional Sales Manager,Senior Manager,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2021-05-19,,Farzana Rahman,187500,2669800,0.87209302,106.9,96.6,Exceeds Expectations,Medium,Ready in 1-2 Years,2,2.0,1,8.0,2192.0,4.1,54.0,68.0,14.0,,,,
MG-CTG-SAM-0299,Fahim Khan,Active at FY2025 year-end,Male,38,35-44,Chattogram,No,Master,Sales & Marketing,sales_and_marketing,CC-102,Senior Territory Officer,Senior Officer,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2022-11-21,,Tanvir Ahmed,67000,963900,0.95714286,106.4,96.3,Exceeds Expectations,Medium,Ready in 1-2 Years,3,14.0,2,14.0,3527.0,3.85,52.5,66.5,14.0,,,,
MG-CTG-SAM-0313,Nabila Chowdhury,Active at FY2025 year-end,Female,24,Under 25,Chattogram,No,Bachelor,Sales & Marketing,sales_and_marketing,CC-102,Marketing Assistant,Junior Staff,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2015-09-26,,Farzana Rahman,45500,684200,1.24657534,91.6,92.7,Exceeds Expectations,Medium,Ready in 1-2 Years,0,0.0,2,16.0,3837.0,4.65,62.5,77.5,15.0,,,,
MG-CTG-SAM-0403,Ishrat Bhuiyan,Active at FY2025 year-end,Female,34,25-34,Dhaka,No,Bachelor,Sales & Marketing,sales_and_marketing,CC-102,Marketing Assistant,Junior Staff,Contract,Chattogram Distribution Hub,chattogram_distribution_hub,2023-10-20,,Tanvir Ahmed,31000,403000,0.84931507,73.9,80.8,Meets Expectations,Medium,Ready in 1-2 Years,3,5.0,1,8.0,1179.0,4.9,49.0,58.0,9.0,,,,
MG-CTG-SAM-0416,Rafiq Karim,Active at FY2025 year-end,Male,27,25-34,Rajshahi,No,Diploma,Sales & Marketing,sales_and_marketing,CC-102,Sales Representative,Junior Staff,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2017-03-09,,Tanvir Ahmed,32000,486200,0.87671233,70.2,81.5,Meets Expectations,Medium,Ready in 1-2 Years,4,8.0,3,28.0,3120.0,4.37,61.67,76.33,14.66,,,,
MG-CTG-SAM-0458,Arif Alam,Active at FY2025 year-end,Male,35,35-44,Chattogram,No,Bachelor,Sales & Marketing,sales_and_marketing,CC-102,Senior Territory Officer,Senior Officer,Probation,Chattogram Distribution Hub,chattogram_distribution_hub,2025-03-10,,Farzana Rahman,69000,897000,0.98571429,90.3,87,Meets Expectations,High,Ready in 1-2 Years,2,5.0,1,12.0,1171.0,4.1,70.0,83.0,13.0,,,,
MG-CTG-SAM-0473,Tareq Talukder,Active at FY2025 year-end,Male,36,35-44,Dhaka,No,Master,Sales & Marketing,sales_and_marketing,CC-102,Brand Manager,Manager,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2025-11-23,,Farzana Rahman,171500,2244500,1.225,121.3,109.3,Outstanding,Medium,Ready in 1-2 Years,1,3.0,0,0.0,0.0,,,,,,,,
MG-CTG-SAM-0491,Ahsan Alam,Active at FY2025 year-end,Male,43,35-44,Dhaka,No,Bachelor,Sales & Marketing,sales_and_marketing,CC-102,Digital Marketing Executive,Executive,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2025-07-14,,Tanvir Ahmed,93000,1317000,1.03333333,106,92.2,Exceeds Expectations,High,Ready Now,1,1.0,0,0.0,0.0,,,,,,,,
MG-CTG-SAM-0492,Monir Mahmud,Active at FY2025 year-end,Male,34,25-34,Dhaka,No,Master,Sales & Marketing,sales_and_marketing,CC-102,Territory Sales Officer,Officer,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2025-08-09,,Farzana Rahman,64000,847000,1.24271845,97.9,85.9,Meets Expectations,Medium,Ready in 1-2 Years,3,21.0,2,24.0,3588.0,4.4,68.5,83.5,15.0,,,,
MG-CTG-SAM-0505,Shakil Karim,Separated during FY2025,Male,,,,,,Sales & Marketing,sales_and_marketing,CC-102,Senior Brand Officer,Senior Officer,,Chattogram Distribution Hub,chattogram_distribution_hub,2025-05-13,2025-12-26,Tanvir Ahmed,,,,,,,,,2,6.0,0,0.0,0.0,,,,,Voluntary,Compensation & Benefits,Yes,0.62
MG-CTG-SAM-0511,Md. Karim Hossain,Active at FY2025 year-end,Male,24,Under 25,Rangpur,No,Bachelor,Sales & Marketing,sales_and_marketing,CC-102,Marketing Assistant,Junior Staff,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2025-12-26,,Farzana Rahman,35000,470000,0.95890411,93.5,87.6,Meets Expectations,Medium,Ready in 1-2 Years,1,0.0,0,0.0,0.0,,,,,,,,
MG-CTG-SCL-0005,Tareq Jahan,Separated during FY2025,Male,,,,,,Supply Chain & Logistics,supply_chain_and_logistics,CC-103,Planning Executive,Executive,,Chattogram Distribution Hub,chattogram_distribution_hub,2017-01-31,2025-07-21,Mahmudul Hasan,,,,,,,,,2,9.0,2,12.0,2573.0,4.35,49.0,59.5,10.5,Voluntary,Better Career Opportunity,Yes,8.47
MG-CTG-SCL-0028,Md. Rahim Chowdhury,Active at FY2025 year-end,Male,20,Under 25,Khulna,No,SSC,Supply Chain & Logistics,supply_chain_and_logistics,CC-103,Warehouse Assistant,Worker,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2023-08-02,,Rezaul Karim,32500,475400,1.22641509,81,80.2,Meets Expectations,High,Ready in 1-2 Years,0,0.0,2,12.0,4352.0,4.0,51.0,74.5,23.5,,,,
MG-CTG-SCL-0073,Hasan Hossain,Active at FY2025 year-end,Male,32,25-34,Rajshahi,No,Master,Supply Chain & Logistics,supply_chain_and_logistics,CC-103,Logistics Officer,Officer,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2020-08-23,,Mahmudul Hasan,45000,654800,0.87378641,120.4,108.1,Outstanding,Medium,Ready in 1-2 Years,4,8.0,0,0.0,0.0,,,,,,,,
MG-CTG-SCL-0098,Shakil Rashid,Active at FY2025 year-end,Male,37,35-44,Barishal,No,Bachelor,Supply Chain & Logistics,supply_chain_and_logistics,CC-103,Warehouse Supervisor,Senior Officer,Probation,Chattogram Distribution Hub,chattogram_distribution_hub,2020-09-28,,Rezaul Karim,56000,728000,0.8,106.5,100.7,Outstanding,Medium,Ready in 1-2 Years,1,2.0,0,0.0,0.0,,,,,,,,
MG-CTG-SCL-0153,Nafisa Sultana,Separated during FY2025,Female,,,,,,Supply Chain & Logistics,supply_chain_and_logistics,CC-103,Logistics Manager,Manager,,Chattogram Distribution Hub,chattogram_distribution_hub,2019-07-29,2025-08-18,Rezaul Karim,,,,,,,,,1,3.0,1,3.0,2048.0,4.4,69.0,81.0,12.0,Voluntary,Compensation & Benefits,No,6.06
MG-CTG-SCL-0218,Rashed Talukder,Active at FY2025 year-end,Male,41,35-44,Khulna,No,SSC,Supply Chain & Logistics,supply_chain_and_logistics,CC-103,Warehouse Assistant,Worker,Contract,Chattogram Distribution Hub,chattogram_distribution_hub,2017-09-16,,Rezaul Karim,21000,294000,0.79245283,97.9,92.8,Exceeds Expectations,Medium,Ready in 1-2 Years,2,6.0,0,0.0,0.0,,,,,,,,
MG-CTG-SCL-0304,Sabbir Mahmud,Active at FY2025 year-end,Male,22,Under 25,Khulna,No,HSC,Supply Chain & Logistics,supply_chain_and_logistics,CC-103,Warehouse Assistant,Worker,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2022-08-11,,Rezaul Karim,26500,404000,1,113.4,99.1,Exceeds Expectations,Medium,Ready in 1-2 Years,3,2.0,2,24.0,2267.0,4.3,56.5,60.0,3.5,,,,
MG-CTG-SCL-0311,Ahsan Khan,Active at FY2025 year-end,Male,22,Under 25,Dhaka,No,SSC,Supply Chain & Logistics,supply_chain_and_logistics,CC-103,Loader,Worker,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2023-10-24,,Mahmudul Hasan,24000,342600,0.90566038,94.3,83.8,Meets Expectations,Medium,Ready in 1-2 Years,1,4.0,3,36.0,5275.0,3.93,58.0,62.33,4.33,,,,
MG-CTG-SCL-0417,Md. Rahim Jahan,Active at FY2025 year-end,Male,54,45+,Dhaka,No,Bachelor,Supply Chain & Logistics,supply_chain_and_logistics,CC-103,Senior Manager - Supply Chain,Senior Manager,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2022-08-11,,Rezaul Karim,249000,3540900,1.15813953,98.6,87.8,Meets Expectations,Low,Develop in Current Role,3,15.0,1,8.0,1481.0,3.8,43.0,67.0,24.0,,,,
MG-CTG-SCL-0423,Arif Chowdhury,Active at FY2025 year-end,Male,23,Under 25,Mymensingh,No,HSC,Supply Chain & Logistics,supply_chain_and_logistics,CC-103,Store Assistant,Junior Staff,Probation,Chattogram Distribution Hub,chattogram_distribution_hub,2025-12-17,,Rezaul Karim,36500,492800,1,70.6,73.5,Partially Meets,Medium,Develop in Current Role,2,4.0,0,0.0,0.0,,,,,,,,
MG-CTG-SCL-0467,Nazmul Haque,Active at FY2025 year-end,Male,31,25-34,Rajshahi,No,Diploma,Supply Chain & Logistics,supply_chain_and_logistics,CC-103,Inventory Officer,Officer,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2025-12-14,,Rezaul Karim,43500,624000,0.84466019,95.8,95.4,Exceeds Expectations,Medium,Ready in 1-2 Years,1,7.0,0,0.0,0.0,,,,,,,,
MG-CTG-SCL-0472,Tareq Sarker,Active at FY2025 year-end,Male,43,35-44,Dhaka,No,Master,Supply Chain & Logistics,supply_chain_and_logistics,CC-103,Senior Supply Chain Officer,Senior Officer,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2025-12-14,,Rezaul Karim,61500,814500,0.87857143,104.7,91,Exceeds Expectations,Medium,Ready in 1-2 Years,2,5.0,0,0.0,0.0,,,,,,,,
MG-DHK-CST-0016,Nazmul Talukder,Active at FY2025 year-end,Male,27,25-34,Sylhet,No,Master,Corporate Strategy,corporate_strategy,CC-112,Strategy Officer,Officer,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2019-03-22,,Mushfiqur Rahman,75500,1088400,1.46601942,58,68.1,Partially Meets,Medium,Develop in Current Role,1,5.0,4,44.0,5572.0,4.12,57.25,76.5,19.25,,,,
MG-DHK-CST-0054,Jahid Uddin,Active at FY2025 year-end,Male,42,35-44,Sylhet,No,Professional Certification,Corporate Strategy,corporate_strategy,CC-112,Senior Strategy Officer,Senior Officer,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2019-10-21,,Mushfiqur Rahman,79000,1176500,1.12857143,93.6,84.8,Meets Expectations,Medium,Ready in 1-2 Years,4,13.0,2,12.0,2029.0,4.55,73.0,88.5,15.5,,,,
MG-DHK-CST-0056,Rakib Haque,Active at FY2025 year-end,Male,34,25-34,Dhaka,No,Bachelor,Corporate Strategy,corporate_strategy,CC-112,Business Analyst,Officer,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2021-04-15,,Anika Tasnim,66500,923900,1.29126214,105.3,95.7,Exceeds Expectations,Medium,Ready in 1-2 Years,1,8.0,2,20.0,4381.0,4.05,70.0,83.5,13.5,,,,
MG-DHK-CST-0059,Sharmeen Rashid,Active at FY2025 year-end,Female,34,25-34,Sylhet,Yes,Professional Certification,Corporate Strategy,corporate_strategy,CC-112,Strategy Manager,Manager,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2021-04-14,,Anika Tasnim,125000,1722800,0.89285714,88.4,90.6,Exceeds Expectations,Medium,Ready in 1-2 Years,1,3.0,4,36.0,6037.0,4.22,55.5,72.5,17.0,,,,
MG-DHK-CST-0076,Ishrat Akter,Active at FY2025 year-end,Female,37,35-44,Rajshahi,No,Master,Corporate Strategy,corporate_strategy,CC-112,Senior Business Analyst,Senior Officer,Probation,Dhaka Corporate Office,dhaka_corporate_office,2022-05-13,,Anika Tasnim,84000,1134000,1.2,72.4,76.4,Partially Meets,Medium,Develop in Current Role,3,7.0,3,26.0,4560.0,4.33,63.0,77.0,14.0,,,,
MG-DHK-CST-0092,Farzana Akter,Active at FY2025 year-end,Female,35,35-44,Mymensingh,Yes,Master,Corporate Strategy,corporate_strategy,CC-112,Senior Business Analyst,Senior Officer,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2023-12-02,,Mushfiqur Rahman,66000,949200,0.94285714,110.3,95.1,Exceeds Expectations,Medium,Ready in 1-2 Years,3,11.0,5,34.0,8952.0,4.46,64.0,74.8,10.8,,,,
MG-DHK-CST-0113,Sharmin Mia,Active at FY2025 year-end,Female,43,35-44,Mymensingh,No,Professional Certification,Corporate Strategy,corporate_strategy,CC-112,Strategy Executive,Executive,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2019-09-04,,Anika Tasnim,115000,1648900,1.27777778,89,83.6,Meets Expectations,Medium,Ready in 1-2 Years,3,9.0,2,12.0,2557.0,4.35,50.0,66.5,16.5,,,,
MG-DHK-CST-0152,Lubna Islam,Active at FY2025 year-end,Female,22,Under 25,Rajshahi,No,Bachelor,Corporate Strategy,corporate_strategy,CC-112,Business Research Assistant,Junior Staff,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2018-04-13,,Mushfiqur Rahman,46000,714300,1.26027397,87.7,86.7,Meets Expectations,High,Ready in 1-2 Years,1,1.0,5,40.0,9143.0,4.12,64.2,79.8,15.6,,,,
