Program ID,Program Name,Category,Training Date,Employee ID,Employee Name,Department,Job Level,Mode,Provider,Venue,Hours,Completion Status,Pre-Assessment Score,Post-Assessment Score,Feedback Rating,Cost (BDT),Mandatory
TRN-003,Bangladesh Labour Law Basics,Compliance,2025-07-18,MG-DHK-LGL-0512,Fahim Mia,Legal & Compliance,Senior Manager,In-person,External Consultant,Narayanganj Production Plant,6,Completed,61,83,4,1655,Yes
TRN-003,Bangladesh Labour Law Basics,Compliance,2025-07-18,MG-GZP-PRD-0375,Asif Khatun,Production,Worker,In-person,External Consultant,Narayanganj Production Plant,6,Not Completed,65,65,4.4,510,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-DHK-SAM-0036,Shakil Haque,Sales & Marketing,Officer,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,65,76,5,625,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-GZP-SAM-0109,Monir Khan,Sales & Marketing,Junior Staff,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,59,74,5,2210,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-GZP-PRD-0322,Mehedi Mia,Production,Officer,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,64,72,4.6,2389,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-GZP-FIN-0237,Saiful Haque,Finance & Accounts,Executive,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,63,80,4.1,1629,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-NGJ-PRD-0039,Mst. Roksana Talukder,Production,Worker,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,60,82,4.6,930,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-NGJ-PRD-0406,Mehedi Sarker,Production,Manager,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,56,77,4.8,1732,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-DHK-FIN-0433,Lubna Haque,Finance & Accounts,Officer,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,70,90,4.6,1724,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-DHK-FIN-0203,Mizanur Hasan,Finance & Accounts,Officer,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,66,86,4.3,775,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-CTG-SAM-0416,Rafiq Karim,Sales & Marketing,Junior Staff,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,53,70,4.2,384,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-DHK-HRA-0019,Sultana Khatun,HR & Administration,Junior Staff,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,60,66,4.4,1659,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-NGJ-ENG-0408,Ashik Akter,Engineering & Maintenance,Worker,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,74,98,3.8,506,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-GZP-ENG-0097,Shuvo Mahmud,Engineering & Maintenance,Officer,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,80,90,4.3,2169,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-GZP-QAS-0396,Maliha Hasan,Quality Assurance,Executive,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,56,80,4.1,2325,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-GZP-IT-0196,Nazmul Mia,Information Technology,Executive,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,64,86,4.1,795,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-GZP-PRD-0210,Rakib Rahman,Production,Worker,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,42,73,5,2476,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-NGJ-PRD-0257,Nazmul Alam,Production,Worker,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,59,83,3.2,1827,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-DHK-SAM-0045,Riyad Jahan,Sales & Marketing,Junior Staff,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,50,73,5,598,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-GZP-QAS-0140,Nayeem Noor,Quality Assurance,Junior Staff,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,59,73,3.9,2211,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-GZP-PRD-0509,Nusrat Sarker,Production,Senior Officer,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,78,90,3.9,830,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-GZP-SCL-0329,Hasan Alam,Supply Chain & Logistics,Officer,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,50,61,4.3,970,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-NGJ-FIN-0445,Imran Talukder,Finance & Accounts,Manager,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,38,51,4.3,2392,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-DHK-PRD-0184,Ahsan Mia,Production,Junior Staff,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,61,83,4,553,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-NGJ-PRD-0116,Rashed Sultana,Production,Junior Staff,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,52,69,4.1,966,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-GZP-PRD-0096,Rashed Mia,Production,Worker,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,50,58,4.5,1000,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-GZP-QAS-0337,Asif Uddin,Quality Assurance,Junior Staff,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,62,82,3.6,1309,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-CTG-QAS-0370,Md. Rahim Uddin,Quality Assurance,Worker,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,65,78,4.2,818,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-GZP-PRD-0055,Nazmul Mahmud,Production,Senior Manager,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,42,74,3.5,1845,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-GZP-SCL-0026,Asif Alam,Supply Chain & Logistics,Senior Officer,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,56,69,3.9,1749,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-DHK-LGL-0323,Tahmina Bhuiyan,Legal & Compliance,Officer,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Not Completed,48,48,3.9,1027,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-DHK-ENG-0429,Tareq Haque,Engineering & Maintenance,Worker,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,47,73,4,1993,Yes
TRN-004,Fire Safety & Evacuation,Health & Safety,2025-08-17,MG-CTG-PRD-0206,Hasan Kabir,Production,Senior Officer,In-person,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,70,85,3.7,1814,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-DHK-SAM-0358,Rakib Noor,Sales & Marketing,Officer,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,47,69,4.3,1407,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-RAJ-QAS-0049,Shakil Chowdhury,Quality Assurance,Manager,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,44,60,4,2340,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-CTG-SAM-0177,Nabila Alam,Sales & Marketing,Junior Staff,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,71,88,4.5,631,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-DHK-CST-0059,Sharmeen Rashid,Corporate Strategy,Manager,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,53,68,4.5,1575,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-RAJ-SAM-0179,Tanjina Rahman,Sales & Marketing,Junior Staff,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,55,70,4.4,1436,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-GZP-CST-0038,Sharmeen Ferdous,Corporate Strategy,Executive,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,60,70,4.2,362,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-GZP-PRD-0172,Raisa Talukder,Production,Worker,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,54,76,4.1,672,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-DHK-SAM-0151,Ahsan Mahmud,Sales & Marketing,Executive,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,66,75,4.1,1753,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-NGJ-ENG-0198,Rafiq Mia,Engineering & Maintenance,Worker,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,68,87,4.4,1698,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-NGJ-ENG-0144,Mahmud Khan,Engineering & Maintenance,Senior Manager,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,70,78,4,1934,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-GZP-SAM-0027,Mehedi Noor,Sales & Marketing,Senior Manager,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Not Completed,62,62,4.7,1941,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-CTG-SAM-0241,Anika Khan,Sales & Marketing,Manager,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,66,88,4.6,547,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-DHK-CUS-0025,Kamrul Khan,Customer Service,Worker,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,81,96,4.4,1536,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-CTG-FIN-0062,Imran Alam,Finance & Accounts,Worker,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,61,89,5,1622,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-GZP-PRD-0325,Nayeem Rahman,Production,Executive,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,53,65,3.9,1233,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-DHK-IT-0392,Kamrul Sultana,Information Technology,Senior Manager,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,36,53,4.1,1307,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-GZP-PRD-0307,Sabbir Noor,Production,Worker,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,79,98,4.5,2359,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-CTG-QAS-0077,Jahid Uddin,Quality Assurance,Junior Staff,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,51,65,4.3,2398,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-NGJ-PRD-0115,Fahim Karim,Production,Officer,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,63,67,4.5,796,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-RAJ-HRA-0436,Nazmul Talukder,HR & Administration,Manager,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,66,76,4.2,1443,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-GZP-IT-0196,Nazmul Mia,Information Technology,Executive,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,43,55,3.7,436,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-GZP-SAM-0105,Faria Hasan,Sales & Marketing,Manager,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,55,97,4.7,805,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-GZP-FIN-0205,Farhan Islam,Finance & Accounts,Senior Officer,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,64,75,3.7,577,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-DHK-HRA-0251,Mst. Roksana Chowdhury,HR & Administration,Manager,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,57,76,4.2,526,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-NGJ-FIN-0157,Mizanur Hasan,Finance & Accounts,Junior Staff,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,46,50,4.1,1465,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-NGJ-PRD-0271,Hasan Ferdous,Production,Worker,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,69,84,4.2,394,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-GZP-LGL-0498,Mst. Roksana Ahmed,Legal & Compliance,Senior Officer,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Not Completed,48,48,4.1,736,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-GZP-SCL-0235,Md. Rahim Kabir,Supply Chain & Logistics,Junior Staff,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Not Completed,64,64,3.9,1601,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-GZP-SAM-0142,Md. Rahim Talukder,Sales & Marketing,Officer,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,60,71,4.4,2528,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-DHK-CST-0255,Moumita Alam,Corporate Strategy,Officer,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,52,61,4,1040,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-CTG-SAM-0100,Moumita Sultana,Sales & Marketing,Junior Staff,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,53,60,4.6,785,Yes
TRN-005,Fire Safety & Evacuation,Health & Safety,2025-08-20,MG-NGJ-SCL-0428,Ashik Chowdhury,Supply Chain & Logistics,Officer,Blended,Bangladesh Fire Service Trainer,Dhaka Corporate Office,4,Completed,69,76,4.2,1258,Yes
