leave_id,employee_id,employee_name,department,location,leave_type,start_date,end_date,leave_days,reason_category,approval_status,approved_by
LV-00015,MG-DHK-SAM-0007,Tareq Akter,Sales & Marketing,Dhaka Corporate Office,Casual Leave,2025-07-02,2025-07-03,2,Urgent Personal Matter,Approved,Tanvir Ahmed
LV-00016,MG-DHK-SAM-0007,Tareq Akter,Sales & Marketing,Dhaka Corporate Office,Sick Leave,2025-04-29,2025-04-29,1,Fever / Flu,Approved,Tanvir Ahmed
LV-00017,MG-DHK-FIN-0008,Md. Karim Noor,Finance & Accounts,Dhaka Corporate Office,Sick Leave,2025-02-15,2025-02-16,2,Minor Illness,Approved,Sadia Islam
LV-00018,MG-DHK-FIN-0008,Md. Karim Noor,Finance & Accounts,Dhaka Corporate Office,Annual Leave,2025-01-05,2025-01-05,1,Personal / Vacation,Approved,Sadia Islam
LV-00019,MG-DHK-SAM-0009,Rashed Ahmed,Sales & Marketing,Dhaka Corporate Office,Annual Leave,2025-02-27,2025-03-03,5,Personal / Vacation,Pending,Tanvir Ahmed
LV-00020,MG-DHK-SAM-0009,Rashed Ahmed,Sales & Marketing,Dhaka Corporate Office,Annual Leave,2025-06-18,2025-06-22,5,Personal / Vacation,Approved,Tanvir Ahmed
LV-00021,MG-DHK-FIN-0010,Nabila Khatun,Finance & Accounts,Dhaka Corporate Office,Annual Leave,2025-01-06,2025-01-10,5,Personal / Vacation,Pending,Sadia Islam
LV-00022,MG-DHK-FIN-0010,Nabila Khatun,Finance & Accounts,Dhaka Corporate Office,Annual Leave,2025-10-23,2025-10-25,3,Personal / Vacation,Approved,Sadia Islam
LV-00023,MG-GZP-PRD-0011,Mehedi Jahan,Production,Gazipur Manufacturing Unit,Casual Leave,2025-04-05,2025-04-06,2,Urgent Personal Matter,Approved,Abdul Karim
LV-00024,MG-GZP-SAM-0012,Sadia Sultana,Sales & Marketing,Gazipur Manufacturing Unit,Casual Leave,2025-05-06,2025-05-08,3,Urgent Personal Matter,Approved,Farzana Rahman
LV-00025,MG-RAJ-QAS-0013,Faria Chowdhury,Quality Assurance,Rajshahi Regional Office,Casual Leave,2025-02-13,2025-02-14,2,Urgent Personal Matter,Approved,Ashikur Rahman
LV-00026,MG-RAJ-QAS-0013,Faria Chowdhury,Quality Assurance,Rajshahi Regional Office,Annual Leave,2025-11-12,2025-11-14,3,Personal / Vacation,Approved,Ashikur Rahman
LV-00027,MG-DHK-CST-0016,Nazmul Talukder,Corporate Strategy,Dhaka Corporate Office,Annual Leave,2025-01-11,2025-01-15,5,Personal / Vacation,Approved,Mushfiqur Rahman
LV-00028,MG-RAJ-SAM-0017,Ashik Mahmud,Sales & Marketing,Rajshahi Regional Office,Annual Leave,2025-06-13,2025-06-15,3,Personal / Vacation,Rejected,Farzana Rahman
LV-00029,MG-RAJ-SAM-0017,Ashik Mahmud,Sales & Marketing,Rajshahi Regional Office,Casual Leave,2025-01-01,2025-01-01,1,Urgent Personal Matter,Approved,Farzana Rahman
LV-00030,MG-RAJ-HRA-0018,Rifat Uddin,HR & Administration,Rajshahi Regional Office,Sick Leave,2025-02-16,2025-02-18,3,Minor Illness,Approved,Md. Imran Hossain
LV-00031,MG-RAJ-HRA-0018,Rifat Uddin,HR & Administration,Rajshahi Regional Office,Annual Leave,2025-01-30,2025-02-01,3,Personal / Vacation,Approved,Md. Imran Hossain
LV-00032,MG-DHK-HRA-0019,Sultana Khatun,HR & Administration,Dhaka Corporate Office,Annual Leave,2025-05-29,2025-05-30,2,Personal / Vacation,Approved,Nusrat Jahan
LV-00033,MG-DHK-HRA-0019,Sultana Khatun,HR & Administration,Dhaka Corporate Office,Casual Leave,2025-08-24,2025-08-26,3,Urgent Personal Matter,Approved,Nusrat Jahan
LV-00034,MG-DHK-HRA-0019,Sultana Khatun,HR & Administration,Dhaka Corporate Office,Casual Leave,2025-10-25,2025-10-25,1,Urgent Personal Matter,Approved,Nusrat Jahan
LV-00035,MG-DHK-FIN-0020,Fahim Khan,Finance & Accounts,Dhaka Corporate Office,Annual Leave,2025-01-01,2025-01-04,4,Personal / Vacation,Approved,Shafiqur Rahman
LV-00036,MG-DHK-FIN-0020,Fahim Khan,Finance & Accounts,Dhaka Corporate Office,Sick Leave,2025-05-15,2025-05-18,4,Medical Appointment,Approved,Shafiqur Rahman
LV-00037,MG-DHK-FIN-0021,Md. Rahim Uddin,Finance & Accounts,Dhaka Corporate Office,Casual Leave,2025-08-17,2025-08-17,1,Urgent Personal Matter,Approved,Shafiqur Rahman
LV-00038,MG-DHK-FIN-0021,Md. Rahim Uddin,Finance & Accounts,Dhaka Corporate Office,Annual Leave,2025-02-27,2025-03-01,3,Personal / Vacation,Approved,Shafiqur Rahman
LV-00039,MG-DHK-FIN-0021,Md. Rahim Uddin,Finance & Accounts,Dhaka Corporate Office,Casual Leave,2025-04-30,2025-05-01,2,Urgent Personal Matter,Approved,Shafiqur Rahman
LV-00040,MG-NGJ-PRD-0022,Shakil Khatun,Production,Narayanganj Production Plant,Sick Leave,2025-04-26,2025-04-27,2,Fever / Flu,Pending,Md. Shahidul Islam
LV-00041,MG-NGJ-PRD-0022,Shakil Khatun,Production,Narayanganj Production Plant,Annual Leave,2025-01-28,2025-01-28,1,Personal / Vacation,Approved,Md. Shahidul Islam
LV-00042,MG-NGJ-PRD-0022,Shakil Khatun,Production,Narayanganj Production Plant,Annual Leave,2025-03-03,2025-03-06,4,Personal / Vacation,Approved,Md. Shahidul Islam
LV-00043,MG-CTG-PRD-0023,Jahid Karim,Production,Chattogram Distribution Hub,Unpaid Leave,2025-08-23,2025-08-25,3,Extended Personal Matter,Approved,Abdul Karim
LV-00044,MG-CTG-PRD-0023,Jahid Karim,Production,Chattogram Distribution Hub,Casual Leave,2025-07-07,2025-07-08,2,Urgent Personal Matter,Approved,Abdul Karim
LV-00045,MG-DHK-CUS-0025,Kamrul Khan,Customer Service,Dhaka Corporate Office,Annual Leave,2025-08-22,2025-08-23,2,Personal / Vacation,Approved,Jannatul Ferdous
LV-00046,MG-GZP-SCL-0026,Asif Alam,Supply Chain & Logistics,Gazipur Manufacturing Unit,Annual Leave,2025-01-25,2025-01-28,4,Personal / Vacation,Approved,Mahmudul Hasan
LV-00047,MG-GZP-SCL-0026,Asif Alam,Supply Chain & Logistics,Gazipur Manufacturing Unit,Sick Leave,2025-03-26,2025-03-26,1,Fever / Flu,Approved,Mahmudul Hasan
LV-00048,MG-NGJ-QAS-0029,Priyanka Mahmud,Quality Assurance,Narayanganj Production Plant,Annual Leave,2025-09-10,2025-09-11,2,Personal / Vacation,Approved,Dr. Samira Sultana
LV-00049,MG-GZP-CST-0030,Maliha Hasan,Corporate Strategy,Gazipur Manufacturing Unit,Annual Leave,2025-12-16,2025-12-20,5,Personal / Vacation,Approved,Mushfiqur Rahman
LV-00050,MG-GZP-CST-0030,Maliha Hasan,Corporate Strategy,Gazipur Manufacturing Unit,Sick Leave,2025-05-31,2025-06-02,3,Medical Appointment,Rejected,Mushfiqur Rahman
LV-00051,MG-NGJ-SAM-0031,Saiful Karim,Sales & Marketing,Narayanganj Production Plant,Annual Leave,2025-07-13,2025-07-17,5,Personal / Vacation,Approved,Tanvir Ahmed
LV-00052,MG-NGJ-SAM-0031,Saiful Karim,Sales & Marketing,Narayanganj Production Plant,Sick Leave,2025-05-30,2025-06-01,3,Minor Illness,Approved,Tanvir Ahmed
LV-00053,MG-NGJ-SAM-0031,Saiful Karim,Sales & Marketing,Narayanganj Production Plant,Paternity Leave,2025-01-08,2025-01-14,7,New Child,Approved,Tanvir Ahmed
LV-00054,MG-NGJ-SAM-0031,Saiful Karim,Sales & Marketing,Narayanganj Production Plant,Annual Leave,2025-08-15,2025-08-16,2,Personal / Vacation,Approved,Tanvir Ahmed
LV-00055,MG-DHK-FIN-0032,Ishrat Mahmud,Finance & Accounts,Dhaka Corporate Office,Maternity Leave,2025-08-05,2025-11-24,112,Maternity,Approved,Sadia Islam
LV-00056,MG-DHK-FIN-0032,Ishrat Mahmud,Finance & Accounts,Dhaka Corporate Office,Annual Leave,2025-05-05,2025-05-08,4,Personal / Vacation,Approved,Sadia Islam
LV-00057,MG-GZP-PRD-0033,Sabbir Bhuiyan,Production,Gazipur Manufacturing Unit,Annual Leave,2025-02-03,2025-02-05,3,Personal / Vacation,Pending,Md. Shahidul Islam
LV-00058,MG-GZP-PRD-0033,Sabbir Bhuiyan,Production,Gazipur Manufacturing Unit,Sick Leave,2025-10-26,2025-10-28,3,Fever / Flu,Approved,Md. Shahidul Islam
LV-00059,MG-GZP-PRD-0033,Sabbir Bhuiyan,Production,Gazipur Manufacturing Unit,Casual Leave,2025-02-23,2025-02-25,3,Urgent Personal Matter,Approved,Md. Shahidul Islam
LV-00060,MG-DHK-HRA-0034,Nafisa Alam,HR & Administration,Dhaka Corporate Office,Annual Leave,2025-12-10,2025-12-11,2,Personal / Vacation,Approved,Nusrat Jahan
LV-00061,MG-GZP-ENG-0035,Arif Rahman,Engineering & Maintenance,Gazipur Manufacturing Unit,Casual Leave,2025-11-27,2025-11-27,1,Urgent Personal Matter,Approved,Rakibul Hasan
LV-00062,MG-DHK-SAM-0036,Shakil Haque,Sales & Marketing,Dhaka Corporate Office,Annual Leave,2025-01-19,2025-01-21,3,Personal / Vacation,Approved,Farzana Rahman
LV-00063,MG-DHK-SAM-0036,Shakil Haque,Sales & Marketing,Dhaka Corporate Office,Paternity Leave,2025-09-29,2025-10-05,7,New Child,Approved,Farzana Rahman
LV-00064,MG-DHK-SAM-0036,Shakil Haque,Sales & Marketing,Dhaka Corporate Office,Annual Leave,2025-04-19,2025-04-21,3,Personal / Vacation,Approved,Farzana Rahman
LV-00065,MG-DHK-SAM-0036,Shakil Haque,Sales & Marketing,Dhaka Corporate Office,Annual Leave,2025-12-20,2025-12-22,3,Personal / Vacation,Approved,Farzana Rahman
LV-00066,MG-NGJ-ENG-0037,Arif Bhuiyan,Engineering & Maintenance,Narayanganj Production Plant,Sick Leave,2025-09-02,2025-09-05,4,Fever / Flu,Approved,Rakibul Hasan
LV-00067,MG-NGJ-ENG-0037,Arif Bhuiyan,Engineering & Maintenance,Narayanganj Production Plant,Annual Leave,2025-05-13,2025-05-15,3,Personal / Vacation,Approved,Rakibul Hasan
LV-00068,MG-NGJ-ENG-0037,Arif Bhuiyan,Engineering & Maintenance,Narayanganj Production Plant,Sick Leave,2025-02-26,2025-02-26,1,Minor Illness,Approved,Rakibul Hasan
LV-00069,MG-GZP-CST-0038,Sharmeen Ferdous,Corporate Strategy,Gazipur Manufacturing Unit,Casual Leave,2025-06-17,2025-06-17,1,Urgent Personal Matter,Approved,Mushfiqur Rahman
LV-00070,MG-GZP-CST-0038,Sharmeen Ferdous,Corporate Strategy,Gazipur Manufacturing Unit,Annual Leave,2025-02-05,2025-02-09,5,Personal / Vacation,Approved,Mushfiqur Rahman
LV-00071,MG-GZP-CST-0038,Sharmeen Ferdous,Corporate Strategy,Gazipur Manufacturing Unit,Annual Leave,2025-01-20,2025-01-23,4,Personal / Vacation,Approved,Mushfiqur Rahman
LV-00072,MG-GZP-CST-0038,Sharmeen Ferdous,Corporate Strategy,Gazipur Manufacturing Unit,Annual Leave,2025-12-01,2025-12-05,5,Personal / Vacation,Approved,Mushfiqur Rahman
LV-00073,MG-NGJ-PRD-0039,Mst. Roksana Talukder,Production,Narayanganj Production Plant,Annual Leave,2025-09-05,2025-09-08,4,Personal / Vacation,Approved,Abdul Karim
LV-00074,MG-GZP-HRA-0040,Shakil Ferdous,HR & Administration,Gazipur Manufacturing Unit,Casual Leave,2025-10-17,2025-10-19,3,Urgent Personal Matter,Approved,Md. Imran Hossain
LV-00075,MG-GZP-HRA-0040,Shakil Ferdous,HR & Administration,Gazipur Manufacturing Unit,Sick Leave,2025-10-29,2025-10-31,3,Fever / Flu,Approved,Md. Imran Hossain
LV-00076,MG-GZP-HRA-0040,Shakil Ferdous,HR & Administration,Gazipur Manufacturing Unit,Sick Leave,2025-05-20,2025-05-20,1,Fever / Flu,Approved,Md. Imran Hossain
LV-00077,MG-GZP-HRA-0040,Shakil Ferdous,HR & Administration,Gazipur Manufacturing Unit,Unpaid Leave,2025-11-10,2025-11-19,10,Extended Personal Matter,Approved,Md. Imran Hossain
LV-00078,MG-DHK-PRO-0041,Rakib Khatun,Procurement,Dhaka Corporate Office,Casual Leave,2025-08-29,2025-08-30,2,Urgent Personal Matter,Approved,Maliha Noor
LV-00079,MG-DHK-PRO-0041,Rakib Khatun,Procurement,Dhaka Corporate Office,Annual Leave,2025-11-15,2025-11-17,3,Personal / Vacation,Approved,Maliha Noor
LV-00080,MG-CTG-QAS-0042,Hasan Kabir,Quality Assurance,Chattogram Distribution Hub,Casual Leave,2025-01-18,2025-01-19,2,Urgent Personal Matter,Approved,Dr. Samira Sultana
LV-00081,MG-DHK-SAM-0044,Afroza Akter,Sales & Marketing,Dhaka Corporate Office,Sick Leave,2025-06-23,2025-06-25,3,Minor Illness,Approved,Tanvir Ahmed
LV-00082,MG-DHK-SAM-0044,Afroza Akter,Sales & Marketing,Dhaka Corporate Office,Annual Leave,2025-03-29,2025-04-01,4,Personal / Vacation,Approved,Tanvir Ahmed
LV-00083,MG-DHK-SAM-0045,Riyad Jahan,Sales & Marketing,Dhaka Corporate Office,Casual Leave,2025-06-24,2025-06-26,3,Urgent Personal Matter,Approved,Tanvir Ahmed
LV-00084,MG-DHK-SCL-0046,Rashed Mahmud,Supply Chain & Logistics,Dhaka Corporate Office,Annual Leave,2025-05-18,2025-05-21,4,Personal / Vacation,Approved,Mahmudul Hasan
LV-00085,MG-DHK-SCL-0046,Rashed Mahmud,Supply Chain & Logistics,Dhaka Corporate Office,Casual Leave,2025-04-29,2025-04-29,1,Urgent Personal Matter,Approved,Mahmudul Hasan
LV-00086,MG-DHK-PRD-0047,Asif Hossain,Production,Dhaka Corporate Office,Unpaid Leave,2025-02-03,2025-02-10,8,Extended Personal Matter,Approved,Abdul Karim
LV-00087,MG-NGJ-PRD-0048,Monir Noor,Production,Narayanganj Production Plant,Paternity Leave,2025-10-22,2025-10-28,7,New Child,Approved,Md. Shahidul Islam
LV-00088,MG-NGJ-PRD-0048,Monir Noor,Production,Narayanganj Production Plant,Unpaid Leave,2025-10-28,2025-10-30,3,Extended Personal Matter,Approved,Md. Shahidul Islam
LV-00089,MG-NGJ-PRD-0048,Monir Noor,Production,Narayanganj Production Plant,Casual Leave,2025-09-22,2025-09-24,3,Urgent Personal Matter,Approved,Md. Shahidul Islam
LV-00090,MG-RAJ-QAS-0049,Shakil Chowdhury,Quality Assurance,Rajshahi Regional Office,Sick Leave,2025-08-20,2025-08-23,4,Fever / Flu,Approved,Dr. Samira Sultana
LV-00091,MG-DHK-HRA-0050,Jahid Karim,HR & Administration,Dhaka Corporate Office,Sick Leave,2025-04-01,2025-04-02,2,Medical Appointment,Approved,Md. Imran Hossain
LV-00092,MG-DHK-HRA-0050,Jahid Karim,HR & Administration,Dhaka Corporate Office,Annual Leave,2025-03-08,2025-03-11,4,Personal / Vacation,Pending,Md. Imran Hossain
LV-00093,MG-DHK-HRA-0050,Jahid Karim,HR & Administration,Dhaka Corporate Office,Annual Leave,2025-02-15,2025-02-15,1,Personal / Vacation,Approved,Md. Imran Hossain
LV-00094,MG-DHK-HRA-0050,Jahid Karim,HR & Administration,Dhaka Corporate Office,Annual Leave,2025-01-25,2025-01-29,5,Personal / Vacation,Approved,Md. Imran Hossain
LV-00095,MG-DHK-SAM-0051,Zahid Rashid,Sales & Marketing,Dhaka Corporate Office,Annual Leave,2025-11-25,2025-11-26,2,Personal / Vacation,Approved,Tanvir Ahmed
LV-00096,MG-DHK-SAM-0051,Zahid Rashid,Sales & Marketing,Dhaka Corporate Office,Casual Leave,2025-11-14,2025-11-16,3,Urgent Personal Matter,Approved,Tanvir Ahmed
LV-00097,MG-DHK-CUS-0053,Tasnim Sarker,Customer Service,Dhaka Corporate Office,Annual Leave,2025-06-26,2025-06-27,2,Personal / Vacation,Approved,Jannatul Ferdous
LV-00098,MG-DHK-CUS-0053,Tasnim Sarker,Customer Service,Dhaka Corporate Office,Casual Leave,2025-04-19,2025-04-21,3,Urgent Personal Matter,Approved,Jannatul Ferdous
LV-00099,MG-DHK-CUS-0053,Tasnim Sarker,Customer Service,Dhaka Corporate Office,Casual Leave,2025-02-17,2025-02-17,1,Urgent Personal Matter,Approved,Jannatul Ferdous
LV-00100,MG-DHK-CST-0054,Jahid Uddin,Corporate Strategy,Dhaka Corporate Office,Sick Leave,2025-05-31,2025-05-31,1,Minor Illness,Approved,Mushfiqur Rahman
LV-00101,MG-DHK-CST-0054,Jahid Uddin,Corporate Strategy,Dhaka Corporate Office,Casual Leave,2025-01-10,2025-01-11,2,Urgent Personal Matter,Approved,Mushfiqur Rahman
LV-00102,MG-DHK-CST-0054,Jahid Uddin,Corporate Strategy,Dhaka Corporate Office,Annual Leave,2025-11-16,2025-11-20,5,Personal / Vacation,Approved,Mushfiqur Rahman
LV-00103,MG-DHK-CST-0054,Jahid Uddin,Corporate Strategy,Dhaka Corporate Office,Unpaid Leave,2025-11-16,2025-11-20,5,Extended Personal Matter,Approved,Mushfiqur Rahman
LV-00104,MG-GZP-PRD-0055,Nazmul Mahmud,Production,Gazipur Manufacturing Unit,Casual Leave,2025-11-22,2025-11-24,3,Urgent Personal Matter,Approved,Md. Shahidul Islam
LV-00105,MG-GZP-PRD-0055,Nazmul Mahmud,Production,Gazipur Manufacturing Unit,Annual Leave,2025-05-07,2025-05-07,1,Personal / Vacation,Approved,Md. Shahidul Islam
LV-00106,MG-GZP-PRD-0055,Nazmul Mahmud,Production,Gazipur Manufacturing Unit,Sick Leave,2025-01-22,2025-01-22,1,Minor Illness,Approved,Md. Shahidul Islam
LV-00107,MG-DHK-CST-0056,Rakib Haque,Corporate Strategy,Dhaka Corporate Office,Unpaid Leave,2025-01-29,2025-02-05,8,Extended Personal Matter,Approved,Anika Tasnim
LV-00108,MG-NGJ-SAM-0057,Sabbir Rahman,Sales & Marketing,Narayanganj Production Plant,Casual Leave,2025-12-15,2025-12-16,2,Urgent Personal Matter,Approved,Tanvir Ahmed
LV-00109,MG-NGJ-SAM-0057,Sabbir Rahman,Sales & Marketing,Narayanganj Production Plant,Casual Leave,2025-11-26,2025-11-26,1,Urgent Personal Matter,Approved,Tanvir Ahmed
LV-00110,MG-NGJ-SAM-0057,Sabbir Rahman,Sales & Marketing,Narayanganj Production Plant,Annual Leave,2025-04-24,2025-04-27,4,Personal / Vacation,Approved,Tanvir Ahmed
LV-00111,MG-NGJ-SCL-0058,Sultana Khan,Supply Chain & Logistics,Narayanganj Production Plant,Annual Leave,2025-05-06,2025-05-09,4,Personal / Vacation,Approved,Mahmudul Hasan
LV-00112,MG-DHK-CST-0059,Sharmeen Rashid,Corporate Strategy,Dhaka Corporate Office,Annual Leave,2025-10-17,2025-10-19,3,Personal / Vacation,Approved,Anika Tasnim
LV-00113,MG-NGJ-QAS-0060,Monir Bhuiyan,Quality Assurance,Narayanganj Production Plant,Unpaid Leave,2025-06-13,2025-06-19,7,Extended Personal Matter,Approved,Ashikur Rahman
LV-00114,MG-NGJ-QAS-0060,Monir Bhuiyan,Quality Assurance,Narayanganj Production Plant,Annual Leave,2025-03-18,2025-03-21,4,Personal / Vacation,Approved,Ashikur Rahman
LV-00115,MG-GZP-PRD-0061,Ashik Noor,Production,Gazipur Manufacturing Unit,Annual Leave,2025-02-05,2025-02-08,4,Personal / Vacation,Approved,Md. Shahidul Islam
LV-00116,MG-GZP-PRD-0061,Ashik Noor,Production,Gazipur Manufacturing Unit,Annual Leave,2025-02-04,2025-02-04,1,Personal / Vacation,Approved,Md. Shahidul Islam
LV-00117,MG-GZP-PRD-0061,Ashik Noor,Production,Gazipur Manufacturing Unit,Annual Leave,2025-01-19,2025-01-19,1,Personal / Vacation,Approved,Md. Shahidul Islam
LV-00118,MG-GZP-PRD-0061,Ashik Noor,Production,Gazipur Manufacturing Unit,Annual Leave,2025-01-17,2025-01-19,3,Personal / Vacation,Approved,Md. Shahidul Islam
LV-00119,MG-CTG-FIN-0062,Imran Alam,Finance & Accounts,Chattogram Distribution Hub,Annual Leave,2025-12-30,2025-12-30,1,Personal / Vacation,Approved,Shafiqur Rahman
LV-00120,MG-GZP-SCL-0063,Md. Karim Noor,Supply Chain & Logistics,Gazipur Manufacturing Unit,Sick Leave,2025-06-27,2025-06-28,2,Medical Appointment,Approved,Mahmudul Hasan
LV-00121,MG-GZP-SCL-0063,Md. Karim Noor,Supply Chain & Logistics,Gazipur Manufacturing Unit,Unpaid Leave,2025-12-15,2025-12-20,6,Extended Personal Matter,Approved,Mahmudul Hasan
LV-00122,MG-GZP-PRD-0064,Shakil Khatun,Production,Gazipur Manufacturing Unit,Annual Leave,2025-01-15,2025-01-15,1,Personal / Vacation,Approved,Abdul Karim
LV-00123,MG-GZP-PRD-0064,Shakil Khatun,Production,Gazipur Manufacturing Unit,Sick Leave,2025-01-29,2025-02-01,4,Minor Illness,Approved,Abdul Karim
LV-00124,MG-GZP-PRD-0064,Shakil Khatun,Production,Gazipur Manufacturing Unit,Casual Leave,2025-02-19,2025-02-21,3,Urgent Personal Matter,Rejected,Abdul Karim
LV-00125,MG-GZP-PRD-0064,Shakil Khatun,Production,Gazipur Manufacturing Unit,Annual Leave,2025-02-02,2025-02-06,5,Personal / Vacation,Approved,Abdul Karim
LV-00126,MG-NGJ-PRD-0065,Sabbir Kabir,Production,Narayanganj Production Plant,Casual Leave,2025-02-09,2025-02-09,1,Urgent Personal Matter,Approved,Abdul Karim
LV-00127,MG-CTG-CUS-0066,Nusrat Alam,Customer Service,Chattogram Distribution Hub,Annual Leave,2025-03-05,2025-03-09,5,Personal / Vacation,Pending,Jannatul Ferdous
LV-00128,MG-DHK-IT-0067,Kamrul Mia,Information Technology,Dhaka Corporate Office,Annual Leave,2025-04-18,2025-04-21,4,Personal / Vacation,Approved,Tanjina Akter
LV-00129,MG-DHK-IT-0067,Kamrul Mia,Information Technology,Dhaka Corporate Office,Annual Leave,2025-09-12,2025-09-12,1,Personal / Vacation,Approved,Tanjina Akter
LV-00130,MG-DHK-IT-0067,Kamrul Mia,Information Technology,Dhaka Corporate Office,Annual Leave,2025-09-25,2025-09-28,4,Personal / Vacation,Approved,Tanjina Akter
LV-00131,MG-DHK-SAM-0068,Riyad Chowdhury,Sales & Marketing,Dhaka Corporate Office,Sick Leave,2025-09-07,2025-09-07,1,Fever / Flu,Approved,Tanvir Ahmed
LV-00132,MG-DHK-SAM-0068,Riyad Chowdhury,Sales & Marketing,Dhaka Corporate Office,Casual Leave,2025-02-10,2025-02-10,1,Urgent Personal Matter,Approved,Tanvir Ahmed
LV-00133,MG-CTG-SAM-0069,Shafiq Akter,Sales & Marketing,Chattogram Distribution Hub,Casual Leave,2025-02-20,2025-02-21,2,Urgent Personal Matter,Approved,Farzana Rahman
LV-00134,MG-GZP-PRD-0070,Nusrat Mahmud,Production,Gazipur Manufacturing Unit,Sick Leave,2025-09-02,2025-09-02,1,Fever / Flu,Approved,Md. Shahidul Islam
LV-00135,MG-GZP-PRD-0070,Nusrat Mahmud,Production,Gazipur Manufacturing Unit,Annual Leave,2025-06-13,2025-06-13,1,Personal / Vacation,Approved,Md. Shahidul Islam
LV-00136,MG-GZP-ENG-0071,Sanjida Bhuiyan,Engineering & Maintenance,Gazipur Manufacturing Unit,Annual Leave,2025-12-09,2025-12-10,2,Personal / Vacation,Approved,Rakibul Hasan
LV-00137,MG-GZP-ENG-0071,Sanjida Bhuiyan,Engineering & Maintenance,Gazipur Manufacturing Unit,Annual Leave,2025-02-28,2025-02-28,1,Personal / Vacation,Approved,Rakibul Hasan
LV-00138,MG-GZP-ENG-0071,Sanjida Bhuiyan,Engineering & Maintenance,Gazipur Manufacturing Unit,Casual Leave,2025-10-28,2025-10-29,2,Urgent Personal Matter,Approved,Rakibul Hasan
LV-00139,MG-GZP-PRD-0072,Samira Noor,Production,Gazipur Manufacturing Unit,Sick Leave,2025-02-01,2025-02-03,3,Minor Illness,Approved,Md. Shahidul Islam
LV-00140,MG-GZP-PRD-0072,Samira Noor,Production,Gazipur Manufacturing Unit,Annual Leave,2025-11-07,2025-11-10,4,Personal / Vacation,Approved,Md. Shahidul Islam
LV-00141,MG-CTG-SCL-0073,Hasan Hossain,Supply Chain & Logistics,Chattogram Distribution Hub,Annual Leave,2025-09-06,2025-09-07,2,Personal / Vacation,Approved,Mahmudul Hasan
LV-00142,MG-CTG-SCL-0073,Hasan Hossain,Supply Chain & Logistics,Chattogram Distribution Hub,Annual Leave,2025-08-16,2025-08-16,1,Personal / Vacation,Approved,Mahmudul Hasan
LV-00143,MG-CTG-SCL-0073,Hasan Hossain,Supply Chain & Logistics,Chattogram Distribution Hub,Sick Leave,2025-01-05,2025-01-05,1,Fever / Flu,Approved,Mahmudul Hasan
