employee_id,employee_name,gender,age,age_band,division_of_origin,disability_status,education,department,department_key,cost_center,job_title,job_level,employment_type,location,location_key,join_date,exit_date,employment_status,manager,monthly_gross_bdt
MG-CTG-PRD-0345,Rafiq Bhuiyan,Male,26,25-34,Dhaka,No,Bachelor,Production,production,CC-101,Production Officer,Officer,Probation,Chattogram Distribution Hub,chattogram_distribution_hub,2016-07-29,,Active at FY2025 year-end,Abdul Karim,47500
MG-CTG-QAS-0042,Hasan Kabir,Male,34,25-34,Sylhet,No,Master,Quality Assurance,quality_assurance,CC-106,QA Executive,Executive,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2022-10-06,,Active at FY2025 year-end,Dr. Samira Sultana,105500
MG-CTG-QAS-0077,Jahid Uddin,Male,27,25-34,Rajshahi,No,Bachelor,Quality Assurance,quality_assurance,CC-106,QC Technician,Junior Staff,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2021-08-29,,Active at FY2025 year-end,Ashikur Rahman,34000
MG-CTG-QAS-0242,Moumita Khan,Not Disclosed,38,35-44,Khulna,No,Bachelor,Quality Assurance,quality_assurance,CC-106,Quality Officer,Officer,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2020-08-25,,Active at FY2025 year-end,Dr. Samira Sultana,56000
MG-CTG-QAS-0324,Ashik Bhuiyan,Male,29,25-34,Barishal,No,HSC,Quality Assurance,quality_assurance,CC-106,Quality Inspector,Worker,Contract,Chattogram Distribution Hub,chattogram_distribution_hub,2019-02-19,,Active at FY2025 year-end,Ashikur Rahman,24000
MG-CTG-QAS-0370,Md. Rahim Uddin,Male,20,Under 25,Dhaka,No,HSC,Quality Assurance,quality_assurance,CC-106,Lab Assistant,Worker,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2019-11-16,,Active at FY2025 year-end,Dr. Samira Sultana,25500
MG-CTG-QAS-0405,Shakil Islam,Male,34,25-34,Chattogram,No,HSC,Quality Assurance,quality_assurance,CC-106,Quality Inspector,Worker,Probation,Chattogram Distribution Hub,chattogram_distribution_hub,2017-08-15,,Active at FY2025 year-end,Ashikur Rahman,26500
MG-CTG-SAM-0015,Rashed Ahmed,Male,36,35-44,Dhaka,No,Bachelor,Sales & Marketing,sales_and_marketing,CC-102,Digital Marketing Executive,Executive,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2018-06-26,,Active at FY2025 year-end,Tanvir Ahmed,78000
MG-CTG-SAM-0069,Shafiq Akter,Male,24,Under 25,Rajshahi,No,HSC,Sales & Marketing,sales_and_marketing,CC-102,Sales Support Assistant,Worker,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2022-06-06,,Active at FY2025 year-end,Farzana Rahman,21000
MG-CTG-SAM-0080,Zahid Akter,Male,34,25-34,Khulna,No,HSC,Sales & Marketing,sales_and_marketing,CC-102,Marketing Assistant,Junior Staff,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2017-06-17,,Active at FY2025 year-end,Tanvir Ahmed,38500
MG-CTG-SAM-0095,Tareq Karim,Male,27,25-34,Rajshahi,No,Professional Certification,Sales & Marketing,sales_and_marketing,CC-102,Senior Territory Officer,Senior Officer,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2022-08-21,,Active at FY2025 year-end,Tanvir Ahmed,66500
MG-CTG-SAM-0100,Moumita Sultana,Female,33,25-34,Chattogram,No,Bachelor,Sales & Marketing,sales_and_marketing,CC-102,Sales Representative,Junior Staff,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2019-04-21,,Active at FY2025 year-end,Farzana Rahman,34000
MG-CTG-SAM-0121,Imran Mia,Male,28,25-34,Mymensingh,No,Bachelor,Sales & Marketing,sales_and_marketing,CC-102,Brand Officer,Officer,Probation,Chattogram Distribution Hub,chattogram_distribution_hub,2021-01-18,,Active at FY2025 year-end,Tanvir Ahmed,55500
MG-CTG-SAM-0130,Jahid Ahmed,Male,26,25-34,Dhaka,No,Master,Sales & Marketing,sales_and_marketing,CC-102,Brand Officer,Officer,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2022-05-13,,Active at FY2025 year-end,Tanvir Ahmed,50500
MG-CTG-SAM-0177,Nabila Alam,Female,23,Under 25,Dhaka,No,HSC,Sales & Marketing,sales_and_marketing,CC-102,Marketing Assistant,Junior Staff,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2021-03-23,,Active at FY2025 year-end,Farzana Rahman,40000
MG-CTG-SAM-0208,Imran Alam,Male,49,45+,Rajshahi,No,Master,Sales & Marketing,sales_and_marketing,CC-102,Brand Manager,Manager,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2020-08-16,,Active at FY2025 year-end,Tanvir Ahmed,152000
MG-CTG-SAM-0232,Jannatul Ferdous,Female,30,25-34,Chattogram,No,Master,Sales & Marketing,sales_and_marketing,CC-102,Digital Marketing Executive,Executive,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2016-06-09,,Active at FY2025 year-end,Tanvir Ahmed,73500
MG-CTG-SAM-0241,Anika Khan,Female,44,35-44,Chattogram,No,Bachelor,Sales & Marketing,sales_and_marketing,CC-102,Brand Manager,Manager,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2020-06-25,,Active at FY2025 year-end,Farzana Rahman,128000
MG-CTG-SAM-0273,Rafiq Chowdhury,Male,43,35-44,Chattogram,No,Master,Sales & Marketing,sales_and_marketing,CC-102,Regional Sales Manager,Senior Manager,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2021-05-19,,Active at FY2025 year-end,Farzana Rahman,187500
MG-CTG-SAM-0299,Fahim Khan,Male,38,35-44,Chattogram,No,Master,Sales & Marketing,sales_and_marketing,CC-102,Senior Territory Officer,Senior Officer,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2022-11-21,,Active at FY2025 year-end,Tanvir Ahmed,67000
MG-CTG-SAM-0313,Nabila Chowdhury,Female,24,Under 25,Chattogram,No,Bachelor,Sales & Marketing,sales_and_marketing,CC-102,Marketing Assistant,Junior Staff,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2015-09-26,,Active at FY2025 year-end,Farzana Rahman,45500
MG-CTG-SAM-0403,Ishrat Bhuiyan,Female,34,25-34,Dhaka,No,Bachelor,Sales & Marketing,sales_and_marketing,CC-102,Marketing Assistant,Junior Staff,Contract,Chattogram Distribution Hub,chattogram_distribution_hub,2023-10-20,,Active at FY2025 year-end,Tanvir Ahmed,31000
MG-CTG-SAM-0416,Rafiq Karim,Male,27,25-34,Rajshahi,No,Diploma,Sales & Marketing,sales_and_marketing,CC-102,Sales Representative,Junior Staff,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2017-03-09,,Active at FY2025 year-end,Tanvir Ahmed,32000
MG-CTG-SAM-0458,Arif Alam,Male,35,35-44,Chattogram,No,Bachelor,Sales & Marketing,sales_and_marketing,CC-102,Senior Territory Officer,Senior Officer,Probation,Chattogram Distribution Hub,chattogram_distribution_hub,2025-03-10,,Active at FY2025 year-end,Farzana Rahman,69000
MG-CTG-SAM-0473,Tareq Talukder,Male,36,35-44,Dhaka,No,Master,Sales & Marketing,sales_and_marketing,CC-102,Brand Manager,Manager,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2025-11-23,,Active at FY2025 year-end,Farzana Rahman,171500
MG-CTG-SAM-0491,Ahsan Alam,Male,43,35-44,Dhaka,No,Bachelor,Sales & Marketing,sales_and_marketing,CC-102,Digital Marketing Executive,Executive,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2025-07-14,,Active at FY2025 year-end,Tanvir Ahmed,93000
MG-CTG-SAM-0492,Monir Mahmud,Male,34,25-34,Dhaka,No,Master,Sales & Marketing,sales_and_marketing,CC-102,Territory Sales Officer,Officer,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2025-08-09,,Active at FY2025 year-end,Farzana Rahman,64000
MG-CTG-SAM-0505,Shakil Karim,Male,,,,,,Sales & Marketing,sales_and_marketing,CC-102,Senior Brand Officer,Senior Officer,,Chattogram Distribution Hub,chattogram_distribution_hub,2025-05-13,2025-12-26,Separated during FY2025,Tanvir Ahmed,
MG-CTG-SAM-0511,Md. Karim Hossain,Male,24,Under 25,Rangpur,No,Bachelor,Sales & Marketing,sales_and_marketing,CC-102,Marketing Assistant,Junior Staff,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2025-12-26,,Active at FY2025 year-end,Farzana Rahman,35000
MG-CTG-SCL-0005,Tareq Jahan,Male,,,,,,Supply Chain & Logistics,supply_chain_and_logistics,CC-103,Planning Executive,Executive,,Chattogram Distribution Hub,chattogram_distribution_hub,2017-01-31,2025-07-21,Separated during FY2025,Mahmudul Hasan,
MG-CTG-SCL-0028,Md. Rahim Chowdhury,Male,20,Under 25,Khulna,No,SSC,Supply Chain & Logistics,supply_chain_and_logistics,CC-103,Warehouse Assistant,Worker,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2023-08-02,,Active at FY2025 year-end,Rezaul Karim,32500
MG-CTG-SCL-0073,Hasan Hossain,Male,32,25-34,Rajshahi,No,Master,Supply Chain & Logistics,supply_chain_and_logistics,CC-103,Logistics Officer,Officer,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2020-08-23,,Active at FY2025 year-end,Mahmudul Hasan,45000
MG-CTG-SCL-0098,Shakil Rashid,Male,37,35-44,Barishal,No,Bachelor,Supply Chain & Logistics,supply_chain_and_logistics,CC-103,Warehouse Supervisor,Senior Officer,Probation,Chattogram Distribution Hub,chattogram_distribution_hub,2020-09-28,,Active at FY2025 year-end,Rezaul Karim,56000
MG-CTG-SCL-0153,Nafisa Sultana,Female,,,,,,Supply Chain & Logistics,supply_chain_and_logistics,CC-103,Logistics Manager,Manager,,Chattogram Distribution Hub,chattogram_distribution_hub,2019-07-29,2025-08-18,Separated during FY2025,Rezaul Karim,
MG-CTG-SCL-0218,Rashed Talukder,Male,41,35-44,Khulna,No,SSC,Supply Chain & Logistics,supply_chain_and_logistics,CC-103,Warehouse Assistant,Worker,Contract,Chattogram Distribution Hub,chattogram_distribution_hub,2017-09-16,,Active at FY2025 year-end,Rezaul Karim,21000
MG-CTG-SCL-0304,Sabbir Mahmud,Male,22,Under 25,Khulna,No,HSC,Supply Chain & Logistics,supply_chain_and_logistics,CC-103,Warehouse Assistant,Worker,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2022-08-11,,Active at FY2025 year-end,Rezaul Karim,26500
MG-CTG-SCL-0311,Ahsan Khan,Male,22,Under 25,Dhaka,No,SSC,Supply Chain & Logistics,supply_chain_and_logistics,CC-103,Loader,Worker,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2023-10-24,,Active at FY2025 year-end,Mahmudul Hasan,24000
MG-CTG-SCL-0417,Md. Rahim Jahan,Male,54,45+,Dhaka,No,Bachelor,Supply Chain & Logistics,supply_chain_and_logistics,CC-103,Senior Manager - Supply Chain,Senior Manager,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2022-08-11,,Active at FY2025 year-end,Rezaul Karim,249000
MG-CTG-SCL-0423,Arif Chowdhury,Male,23,Under 25,Mymensingh,No,HSC,Supply Chain & Logistics,supply_chain_and_logistics,CC-103,Store Assistant,Junior Staff,Probation,Chattogram Distribution Hub,chattogram_distribution_hub,2025-12-17,,Active at FY2025 year-end,Rezaul Karim,36500
MG-CTG-SCL-0467,Nazmul Haque,Male,31,25-34,Rajshahi,No,Diploma,Supply Chain & Logistics,supply_chain_and_logistics,CC-103,Inventory Officer,Officer,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2025-12-14,,Active at FY2025 year-end,Rezaul Karim,43500
MG-CTG-SCL-0472,Tareq Sarker,Male,43,35-44,Dhaka,No,Master,Supply Chain & Logistics,supply_chain_and_logistics,CC-103,Senior Supply Chain Officer,Senior Officer,Permanent,Chattogram Distribution Hub,chattogram_distribution_hub,2025-12-14,,Active at FY2025 year-end,Rezaul Karim,61500
MG-DHK-CST-0016,Nazmul Talukder,Male,27,25-34,Sylhet,No,Master,Corporate Strategy,corporate_strategy,CC-112,Strategy Officer,Officer,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2019-03-22,,Active at FY2025 year-end,Mushfiqur Rahman,75500
MG-DHK-CST-0054,Jahid Uddin,Male,42,35-44,Sylhet,No,Professional Certification,Corporate Strategy,corporate_strategy,CC-112,Senior Strategy Officer,Senior Officer,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2019-10-21,,Active at FY2025 year-end,Mushfiqur Rahman,79000
MG-DHK-CST-0056,Rakib Haque,Male,34,25-34,Dhaka,No,Bachelor,Corporate Strategy,corporate_strategy,CC-112,Business Analyst,Officer,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2021-04-15,,Active at FY2025 year-end,Anika Tasnim,66500
MG-DHK-CST-0059,Sharmeen Rashid,Female,34,25-34,Sylhet,Yes,Professional Certification,Corporate Strategy,corporate_strategy,CC-112,Strategy Manager,Manager,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2021-04-14,,Active at FY2025 year-end,Anika Tasnim,125000
MG-DHK-CST-0076,Ishrat Akter,Female,37,35-44,Rajshahi,No,Master,Corporate Strategy,corporate_strategy,CC-112,Senior Business Analyst,Senior Officer,Probation,Dhaka Corporate Office,dhaka_corporate_office,2022-05-13,,Active at FY2025 year-end,Anika Tasnim,84000
MG-DHK-CST-0092,Farzana Akter,Female,35,35-44,Mymensingh,Yes,Master,Corporate Strategy,corporate_strategy,CC-112,Senior Business Analyst,Senior Officer,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2023-12-02,,Active at FY2025 year-end,Mushfiqur Rahman,66000
MG-DHK-CST-0113,Sharmin Mia,Female,43,35-44,Mymensingh,No,Professional Certification,Corporate Strategy,corporate_strategy,CC-112,Strategy Executive,Executive,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2019-09-04,,Active at FY2025 year-end,Anika Tasnim,115000
MG-DHK-CST-0152,Lubna Islam,Female,22,Under 25,Rajshahi,No,Bachelor,Corporate Strategy,corporate_strategy,CC-112,Business Research Assistant,Junior Staff,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2018-04-13,,Active at FY2025 year-end,Mushfiqur Rahman,46000
MG-DHK-CST-0164,Mim Rahman,Female,37,35-44,Rajshahi,No,Professional Certification,Corporate Strategy,corporate_strategy,CC-112,PMO Manager,Manager,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2017-03-09,,Active at FY2025 year-end,Mushfiqur Rahman,175000
MG-DHK-CST-0221,Arif Mia,Male,34,25-34,Chattogram,No,Master,Corporate Strategy,corporate_strategy,CC-112,Senior Business Analyst,Senior Officer,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2021-02-26,,Active at FY2025 year-end,Anika Tasnim,90000
MG-DHK-CST-0255,Moumita Alam,Female,32,25-34,Chattogram,No,Bachelor,Corporate Strategy,corporate_strategy,CC-112,Business Analyst,Officer,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2019-04-05,,Active at FY2025 year-end,Mushfiqur Rahman,45000
MG-DHK-CST-0267,Saiful Rahman,Male,38,35-44,Dhaka,No,Bachelor,Corporate Strategy,corporate_strategy,CC-112,Senior Business Analyst,Senior Officer,Probation,Dhaka Corporate Office,dhaka_corporate_office,2019-03-17,,Active at FY2025 year-end,Anika Tasnim,94000
MG-DHK-CST-0274,Mst. Roksana Sarker,Female,,,,,,Corporate Strategy,corporate_strategy,CC-112,Strategy Officer,Officer,,Dhaka Corporate Office,dhaka_corporate_office,2017-03-17,2025-03-05,Separated during FY2025,Anika Tasnim,
MG-DHK-CST-0336,Monir Khatun,Male,42,35-44,Dhaka,No,Master,Corporate Strategy,corporate_strategy,CC-112,Project Management Executive,Executive,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2021-07-19,,Active at FY2025 year-end,Anika Tasnim,94000
MG-DHK-CST-0367,Nadia Alam,Female,38,35-44,Dhaka,No,Bachelor,Corporate Strategy,corporate_strategy,CC-112,Business Analyst,Officer,Probation,Dhaka Corporate Office,dhaka_corporate_office,2021-01-11,,Active at FY2025 year-end,Anika Tasnim,66000
MG-DHK-CST-0369,Fahim Karim,Male,21,Under 25,Mymensingh,No,HSC,Corporate Strategy,corporate_strategy,CC-112,PMO Assistant,Junior Staff,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2022-09-06,,Active at FY2025 year-end,Anika Tasnim,46000
MG-DHK-CST-0371,Tanvir Sarker,Male,27,25-34,Chattogram,No,Diploma,Corporate Strategy,corporate_strategy,CC-112,Business Research Assistant,Junior Staff,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2021-05-22,,Active at FY2025 year-end,Mushfiqur Rahman,43500
MG-DHK-CST-0399,Md. Karim Mia,Male,27,25-34,Sylhet,No,Bachelor,Corporate Strategy,corporate_strategy,CC-112,Strategy Officer,Officer,Contract,Dhaka Corporate Office,dhaka_corporate_office,2022-08-23,,Active at FY2025 year-end,Mushfiqur Rahman,47000
MG-DHK-CST-0404,Tareq Sarker,Male,30,25-34,Khulna,No,Bachelor,Corporate Strategy,corporate_strategy,CC-112,Senior Business Analyst,Senior Officer,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2020-06-26,,Active at FY2025 year-end,Mushfiqur Rahman,75500
MG-DHK-CST-0477,Md. Karim Noor,Male,34,25-34,Khulna,No,Bachelor,Corporate Strategy,corporate_strategy,CC-112,Business Analyst,Officer,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2025-02-22,,Active at FY2025 year-end,Mushfiqur Rahman,68000
MG-DHK-CUS-0025,Kamrul Khan,Male,,,,,,Customer Service,customer_service,CC-110,Customer Care Assistant,Worker,,Dhaka Corporate Office,dhaka_corporate_office,2022-09-11,2025-10-03,Separated during FY2025,Jannatul Ferdous,
MG-DHK-CUS-0053,Tasnim Sarker,Female,30,25-34,Khulna,No,Master,Customer Service,customer_service,CC-110,Customer Experience Executive,Executive,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2021-06-23,,Active at FY2025 year-end,Jannatul Ferdous,88000
MG-DHK-CUS-0093,Tanvir Rashid,Male,27,25-34,Rangpur,No,Bachelor,Customer Service,customer_service,CC-110,Senior Customer Service Officer,Senior Officer,Contract,Dhaka Corporate Office,dhaka_corporate_office,2019-08-07,,Active at FY2025 year-end,Rashedul Islam,72500
MG-DHK-CUS-0212,Riyad Rahman,Male,30,25-34,Dhaka,No,Master,Customer Service,customer_service,CC-110,Complaint Resolution Officer,Officer,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2020-09-20,,Active at FY2025 year-end,Jannatul Ferdous,47000
MG-DHK-CUS-0305,Sharmeen Talukder,Female,23,Under 25,Sylhet,No,Master,Customer Service,customer_service,CC-110,Customer Service Officer,Officer,Intern,Dhaka Corporate Office,dhaka_corporate_office,2020-09-03,,Active at FY2025 year-end,Jannatul Ferdous,64000
MG-DHK-CUS-0328,Shafiq Jahan,Male,40,35-44,Rangpur,No,Bachelor,Customer Service,customer_service,CC-110,Senior Customer Service Officer,Senior Officer,Contract,Dhaka Corporate Office,dhaka_corporate_office,2019-08-26,,Active at FY2025 year-end,Rashedul Islam,83500
MG-DHK-CUS-0340,Asif Uddin,Male,29,25-34,Dhaka,No,Master,Customer Service,customer_service,CC-110,Team Supervisor,Senior Officer,Probation,Dhaka Corporate Office,dhaka_corporate_office,2022-06-29,,Active at FY2025 year-end,Jannatul Ferdous,67000
MG-DHK-CUS-0342,Samira Rashid,Female,30,25-34,Rangpur,No,HSC,Customer Service,customer_service,CC-110,Call Centre Agent,Junior Staff,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2018-07-07,,Active at FY2025 year-end,Rashedul Islam,38000
MG-DHK-CUS-0347,Hasan Uddin,Male,,,,,,Customer Service,customer_service,CC-110,Customer Experience Executive,Executive,,Dhaka Corporate Office,dhaka_corporate_office,2021-08-17,2025-11-14,Separated during FY2025,Jannatul Ferdous,
MG-DHK-CUS-0357,Asif Hossain,Male,33,25-34,Dhaka,No,HSC,Customer Service,customer_service,CC-110,Customer Care Assistant,Worker,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2021-11-21,,Active at FY2025 year-end,Rashedul Islam,21000
MG-DHK-CUS-0426,Shuvo Sarker,Male,35,35-44,Rangpur,No,Bachelor,Customer Service,customer_service,CC-110,Customer Experience Executive,Executive,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2025-03-23,,Active at FY2025 year-end,Jannatul Ferdous,71500
MG-DHK-CUS-0466,Tahmina Noor,Female,31,25-34,Sylhet,No,Bachelor,Customer Service,customer_service,CC-110,Complaint Resolution Officer,Officer,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2025-11-01,,Active at FY2025 year-end,Rashedul Islam,45000
MG-DHK-CUS-0471,Ishrat Hossain,Female,47,45+,Khulna,No,SSC,Customer Service,customer_service,CC-110,Customer Care Assistant,Worker,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2025-07-18,,Active at FY2025 year-end,Jannatul Ferdous,27500
MG-DHK-ENG-0425,Asif Noor,Male,39,35-44,Chattogram,No,Professional Certification,Engineering & Maintenance,engineering_and_maintenance,CC-107,Engineering Manager,Manager,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2025-02-24,,Active at FY2025 year-end,Md. Moniruzzaman,116500
MG-DHK-ENG-0429,Tareq Haque,Male,28,25-34,Rajshahi,No,Trade Certificate,Engineering & Maintenance,engineering_and_maintenance,CC-107,Mechanical Technician,Worker,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2025-01-18,,Active at FY2025 year-end,Md. Moniruzzaman,22500
MG-DHK-FIN-0008,Md. Karim Noor,Male,,,,,,Finance & Accounts,finance_and_accounts,CC-104,Senior Finance Officer,Senior Officer,,Dhaka Corporate Office,dhaka_corporate_office,2019-12-19,2025-02-18,Separated during FY2025,Sadia Islam,
MG-DHK-FIN-0010,Nabila Khatun,Female,37,35-44,Mymensingh,No,Bachelor,Finance & Accounts,finance_and_accounts,CC-104,Accounts Officer,Officer,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2021-05-02,,Active at FY2025 year-end,Sadia Islam,49500
MG-DHK-FIN-0020,Fahim Khan,Male,31,25-34,Dhaka,No,Bachelor,Finance & Accounts,finance_and_accounts,CC-104,Accounts Assistant,Junior Staff,Contract,Dhaka Corporate Office,dhaka_corporate_office,2021-10-18,,Active at FY2025 year-end,Shafiqur Rahman,37000
MG-DHK-FIN-0021,Md. Rahim Uddin,Male,26,25-34,Rajshahi,No,Bachelor,Finance & Accounts,finance_and_accounts,CC-104,Finance Officer,Officer,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2018-07-14,,Active at FY2025 year-end,Shafiqur Rahman,42500
MG-DHK-FIN-0032,Ishrat Mahmud,Female,33,25-34,Sylhet,No,HSC,Finance & Accounts,finance_and_accounts,CC-104,Cash Assistant,Junior Staff,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2022-07-09,,Active at FY2025 year-end,Sadia Islam,38000
MG-DHK-FIN-0079,Nusrat Karim,Female,51,45+,Dhaka,No,Master,Finance & Accounts,finance_and_accounts,CC-104,Accounts Manager,Manager,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2016-02-25,,Active at FY2025 year-end,Shafiqur Rahman,164500
MG-DHK-FIN-0102,Rumana Rashid,Female,34,25-34,Rajshahi,No,Bachelor,Finance & Accounts,finance_and_accounts,CC-104,Accounts Officer,Officer,Probation,Dhaka Corporate Office,dhaka_corporate_office,2017-10-24,,Active at FY2025 year-end,Sadia Islam,62500
MG-DHK-FIN-0127,Ayesha Bhuiyan,Female,30,25-34,Khulna,No,Master,Finance & Accounts,finance_and_accounts,CC-104,Senior Finance Officer,Senior Officer,Permanent,Dhaka Corporate Office,dhaka_corporate_office,2022-07-16,,Active at FY2025 year-end,Sadia Islam,69000
